venue,city,country
W.A.C.A. Ground,Perth,Australia
Wanderers Cricket Ground,Windhoek,Namibia
Wankhede Stadium,Mumbai,India
Warner Park,Basseterre,Saint Kitts and Nevis
Welagedara Stadium,Kurunegala,Sri Lanka
Western Australia Cricket Association Ground,Perth,Australia
Westpac Park,Hamilton,New Zealand
Westpac Stadium,Wellington,New Zealand
Willowmoore Park,Benoni,South Africa
Windsor Park,Roseau,Dominica
YMCA Cricket Club,Dublin,Ireland
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
Zayed Cricket Stadium,Abu Dhabi,UAE
Zohur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
